library_id,fastq_path,read,pair_id,type
167858,/scratch/project/production/fastq/HMFWTDRXX/1/fastq/HMFWTDRXX_1_SI-GA-H2_1.fastq.gz,R1,P1,not_hashed
167858,/scratch/project/production/fastq/HMFWTDRXX/1/fastq/HMFWTDRXX_1_SI-GA-H2_2.fastq.gz,R2,P1,not_hashed
167858,/scratch/project/production/fastq/HMFWTDRXX/2/fastq/HMFWTDRXX_2_SI-GA-H2_1.fastq.gz,R1,P2,not_hashed
167858,/scratch/project/production/fastq/HMFWTDRXX/2/fastq/HMFWTDRXX_2_SI-GA-H2_2.fastq.gz,R2,P2,not_hashed
167859,/scratch/project/production/fastq/HMFWTDRXX/1/fastq/HMFWTDRXX_1_SI-GA-H3_1.fastq.gz,R1,P3,not_hashed
167859,/scratch/project/production/fastq/HMFWTDRXX/1/fastq/HMFWTDRXX_1_SI-GA-H3_2.fastq.gz,R2,P3,not_hashed
167859,/scratch/project/production/fastq/HMFWTDRXX/2/fastq/HMFWTDRXX_2_SI-GA-H3_1.fastq.gz,R1,P4,not_hashed
167859,/scratch/project/production/fastq/HMFWTDRXX/2/fastq/HMFWTDRXX_2_SI-GA-H3_2.fastq.gz,R2,P4,not_hashed
167860,/scratch/project/production/fastq/HMFWTDRXX/1/fastq/HMFWTDRXX_1_SI-GA-H4_1.fastq.gz,R1,P5,not_hashed
167860,/scratch/project/production/fastq/HMFWTDRXX/1/fastq/HMFWTDRXX_1_SI-GA-H4_2.fastq.gz,R2,P5,not_hashed
167860,/scratch/project/production/fastq/HMFWTDRXX/2/fastq/HMFWTDRXX_2_SI-GA-H4_1.fastq.gz,R1,P6,not_hashed
167860,/scratch/project/production/fastq/HMFWTDRXX/2/fastq/HMFWTDRXX_2_SI-GA-H4_2.fastq.gz,R2,P6,not_hashed
167861,/scratch/project/production/fastq/HMFWTDRXX/1/fastq/HMFWTDRXX_1_SI-GA-H5_1.fastq.gz,R1,P7,not_hashed
167861,/scratch/project/production/fastq/HMFWTDRXX/1/fastq/HMFWTDRXX_1_SI-GA-H5_2.fastq.gz,R2,P7,not_hashed
167861,/scratch/project/production/fastq/HMFWTDRXX/2/fastq/HMFWTDRXX_2_SI-GA-H5_1.fastq.gz,R1,P8,not_hashed
167861,/scratch/project/production/fastq/HMFWTDRXX/2/fastq/HMFWTDRXX_2_SI-GA-H5_2.fastq.gz,R2,P8,not_hashed
167862,/scratch/project/production/fastq/HMFWTDRXX/1/fastq/HMFWTDRXX_1_SI-GA-H6_1.fastq.gz,R1,P9,not_hashed
167862,/scratch/project/production/fastq/HMFWTDRXX/1/fastq/HMFWTDRXX_1_SI-GA-H6_2.fastq.gz,R2,P9,not_hashed
167862,/scratch/project/production/fastq/HMFWTDRXX/2/fastq/HMFWTDRXX_2_SI-GA-H6_1.fastq.gz,R1,P10,not_hashed
167862,/scratch/project/production/fastq/HMFWTDRXX/2/fastq/HMFWTDRXX_2_SI-GA-H6_2.fastq.gz,R2,P10,not_hashed
